path,Fld Applictn,Abstract,File,Title,Start Date,Expected Total Amt.,Prgm Manager,Expires,Investigator,NSF Org,Sponsor,Type,Program Ref,Award Instr.,Award Number,NSF Program,Latest Amendment Date
dbfs:/data-mining/nsf-abstract/original/awd_1992_02/a9202995.txt,0204000 Oceanography  44 Physical & Chemical Oceanography,The mechanisms by which eddies are generated along coastal boundary  by a fluctuating wind stress are studied by means of combined  laboratory experiments and numerical models. Various types of wind  forcing and bottom topography will be used in the experiments.,a9202995,Studies of Oscillatory Flow over Topography,"May 1, 1992",$189000 (Estimated),"Richard B. Lambert, Jr.  OCE DIVISION OF OCEAN SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES","October 31, 1995 (Estimated)",John E. Hart John.Hart@Colorado.edu (Principal Investigator current) Robert R. Leben (Co-Principal Investigator current),OCE,"U of Colorado Boulder 3100 Marine Street, Room 481 Boulder, CO 803090572 303/492-6221",Award,"0000,1577,OTHR,",Continuing grant,9202995,1610 PHYSICAL OCEANOGRAPHY,"March 10, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_09/a9209651.txt,0000099 Other Applications NEC  61 Life Science Biological,"The ability to correctly perceive the physical world around us is  to a large part dependent on hooking the eye up to the brain in a  very precise fashion. Dr. Debski's goal is to understand the  process whereby the neurons from the eye choose the cells in a  target structure with which to connect. In order to study the  problem of how the eye connects to the brain, Dr. Debski will use  the visual system of a amphibian model system. In this system, the  eye connects to the optic tectum, the main visual area of the  animal. There the neurons from the eye form a map of the visual  space. This brain structure is similar to the visual maps found  in mammals and primates. One of the distinct advantages of the  amphibian is that development of the visual system occurs during  a stage when it is readily accessible. Therefore the developmental  processes which lead to the formation of these maps can be studied.  Dr. Debski's study will focus on the NMDA receptor, a type of  receptor found on some neurons. This receptor is known to play as  role in determining where the optic tectum neurons from the eye  connect. She will determine whether the activity of this receptor  can be modulated by the neurotransmitters glycine, serotonin and  VIP and to what extent the latter two of these transmitters are  found in the visual system and therefore are likely to provide such  modulation in the intact animal. Dr. Debski will also determine  the degree to which the developing system changes with respect to  NMDA receptor activity and serotonin- and VIP-like immunoreactive  neurons as it matures. The results from these studies will allow  us to better understand how to modulate NMDA receptor activity as  a means to correct error in visual connectivity when they occur.***//",a9209651,The Visual System: Modulation of NMDA Receptor Activity,"August 1, 1992",$190816 (Estimated),"Christopher Platt, Ph.D.  IBN DIV OF INTEGRATIVE BIOLOGY AND NEUROSCIE BIO DIRECT FOR BIOLOGICAL SCIENCES","January 31, 1995 (Estimated)",Elizabeth A. Debski (Principal Investigator current),IBN,"U of Kentucky Res Fdn 201 Kinkead Hall Lexington, KY 405060057 / -",Award,"0000,9183,BIOT,OTHR,",Continuing grant,9209651,1190 DEVELOPMENTAL NEUROSCIENCE,"July 18, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_05/a9205522.txt,0313000 Regional & Environmental  88 Geography,"Most geographical studies of waterways and boundaries have  emphasized the boundary function of waterways, particularly  between political entities. Few studies have addressed the  problems associated with state ownership of waterbottoms. The  important issue in determining ownership is navigability because  most states own the waterbottoms of all naturally formed  navigable waterways. In recent years, the problem of waterbottom  ownership determination has been magnified by accelerating rates  of land loss along coastal zones and channel filling within  drainage basins. In the state of Louisiana, both of these  changes are due, in part, to cultural alterations of sediment-  bearing channel flow. This research project will examine the  impact of waterway changes on ownership of waterbottoms within  south Louisiana waterways. It will test the hypothesis that the  state is losing ownership of property through accretion within  areas of extensive deposition while it is gaining property  through erosion within the coastal zone. The Atchafalaya Basin  and the Bayou Lafourche will be compared as extremes of these two  processes. Geological, historical, geographical and legal data  will be assembled in order to test the hypothesis.  This study is unique in that it addresses the ownership of a  particular type of property, the waterbottoms of inland and  coastal waterways. It blends geomorphological evidence with  legal decisions to better understand the relationship between  natural and cultural processes which modify waterway boundaries  and the legal framework for adjudicating disputes over  boundaries. It will have practical applications to boundary  determination problems elsewhere, and it will further elucidate  the problems which occur when the legal and legislative systems  lag behind the actual physical changes to boundaries.",a9205522,Doctoral Dissertation Research in Geography and Regional Science,"August 15, 1992",$8809 (Estimated),"Brian Holly  BCS DIVISION OF BEHAVIORAL AND COGNITIVE SCI SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","January 31, 1994 (Estimated)",George J. Castille (Student current),BCS,"La St U & A&M Coll 330 Thomas Boyd Hall Baton Rouge, LA 70803 225/578-3386",Award,"",Standard Grant,9205522,1352 GEOGRAPHY AND REGIONAL SCIENCE,"August 11, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_08/a9208350.txt,0308000 Industrial Technology  53 Engineering-Chemical  56 Engineering-Mechanical,"A two-component Laser Doppler Velocimeter (LDV) is acquired  for a combined experimental and numerical study to enhance the  basic understanding of the physics of two-way coupling between  small spherical particles and turbulence. The two-way  nonlinear coupling between particles and turbulence  encompasses the dispersion of discrete particles due to the  turbulent motion of the fluid, and the modulation of the  turbulence structure by the motion on the particles. The  primary goal of the experimental study is to simultaneously  measure the instantaneous velocities of the fluid and  particles in two directions and at two positions using a  specially designed two-component LDV.   The results obtained from direct numerical simulation will be  compared with the experimental data, and used to test and  improve available turbulence closure models of particle-laden  flows.",a9208350,Equipment Related to the Study of Interaction Between Homogeneous Turbulence and Solid Particles,"July 1, 1992",$70000 (Estimated),M. C. Roco  CTS DIV OF CHEMICAL AND TRANSPORT SYSTEMS  ENG DIRECTORATE FOR ENGINEERING,"October 31, 1994 (Estimated)",S. E. Elghobashi selghoba@uci.edu (Principal Investigator current) John C. LaRue (Co-Principal Investigator current),CTS,"U of Cal Irvine 160 Administration Building Irvine, CA 926971875 949/824-7106",Award,"",Standard Grant,9208350,1415 Particulate &Multiphase Procss,"June 2, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200947.txt,0000099 Other Applications NEC  13 Physics,"Key experiments are proposed for the advancement of quantum  dynamics, the study of time evolution in systems described by  quantum rather than classical mechanics. Both few and many body  systems will be examined in real time. These include microwave  driven highly excited hydrogen atoms, a search for a quantum  breaktime in the evolution of a microwave driven ensemble of  strontium atoms and an investigation into the gas-plasma phase  transition in an overdense gas of Rydberg calcium atoms. These  experiments will enhance our understanding of the relationship  between the quantum theory of small systems and the nonlinear  dynamics of classically macroscopic systems.",a9200947,Experiments in Quantum Dynamics,"April 15, 1992",$360000 (Estimated),Barry I. Schneider  PHY DIVISION OF PHYSICS  MPS DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN,"September 30, 1996 (Estimated)",James E. Bayfield (Principal Investigator current),PHY,"U of Pittsburgh 4200 Fifth Avenue Pittsburgh, PA 152600001 412/624-4141",Award,"0000,OTHR,",Continuing grant,9200947,1241 ATOMIC & MOLECULAR PHYSICS,"April 8, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_04/a9204296.txt,0000099 Other Applications NEC  21 Mathematics,"Professor Prasad will work on arithmetic, geometric and  group theoretic questions related to semi-simple groups over  local and global fields. He intends to work on the congruence  subgroup problem for anisotropic semi-simple groups over global  function fields. He also intends to study principal bundles over  certain smooth varieties.  This project falls into the general area of arithmetic  geometry - a subject that blends two of the oldest areas of  mathematics: number theory and geometry. This combination has  proved extraordinarily fruitful - having recently solved problems  that withstood generations. Among its many consequences are new  error correcting codes. Such codes are essential for both modern  computers (hard disks) and compact disks.",a9204296,Mathematical Sciences: Semi-simple Groups and Arithmetic Subgroups,"June 15, 1992",$90000 (Estimated),Andrew G. Earnest  DMS DIVISION OF MATHEMATICAL SCIENCES  MPS DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN,"November 30, 1995 (Estimated)",Gopal Prasad gprasad@math.lsa.umich.edu (Principal Investigator current),DMS,"University of Michigan 3003 S State St. RM 1062 Ann Arbor, MI 481091274 313/764-1817",Award,"0000,OTHR,",Continuing grant,9204296,"1264 ALGEBRA,NUMBER THEORY,AND COM","February 14, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_01/a9201836.txt,0203000 Health  61 Life Science Biological,"This award provides continued support for the operation of the  National Drosophila Species Resource Center (NDSRC) at Bowling  Green State University. The NDSRC collects and maintains a  collection of living culture of 260 Drosophila species. The center  serves a broad area of biological research community by supplying  properly identified cultures of Drosophila species, and providing  information and technical assistance. The Center also provides  limited research facilities to scientists interested in working  with the collection on site. Current users of the Center include  scientists in the areas of developmental biology, cellular and  molecular biology, evolutionary biology and systematics. In  addition, the Center collection is often used for teaching purposes  both at the college undergraduate and high school levels.",a9201836,Support for the Drosophila Species Collection,"March 1, 1992",$747719 (Estimated),Gerald Selzer  DBI DIV OF BIOLOGICAL INFRASTRUCTURE  BIO DIRECT FOR BIOLOGICAL SCIENCES,"January 31, 1998 (Estimated)",Jong S. Yoon (Principal Investigator current),DBI,Bowling Green U Main Cam,Award,"9127,9184,BIOT,",Continuing grant,9201836,1106 LIVING STOCK COLLECTIONS,"April 29, 1997"
dbfs:/data-mining/nsf-abstract/original/awd_1992_05/a9205047.txt,0000099 Other Applications NEC  31 Computer Science & Engineering,"This project deals with volume synthesis, its theoretical framework, its underlying voxelization algorithms for synthesizing volumetric (voxel-based) objects from their geometric description, and its discrete rendering algorithms for visualizing these objects. The three main objectives of this research are: (1) to study the theoretical framework in 3D discrete topology  for the voxelization and discrete rendering algorithms in order to guarantee the generation of a `well-behaved` discrete representation in terms of connectivity, thickness, separability, minimization, coverage, and accuracy;  (2) to develop and implement efficient voxelization algorithms for 3D lines, 3D circles, surfaces, and solids, using a variety of connectivities, thicknesses, and spatial occupancies, with a specific focus on both binary and non- binary (`fuzzy`) voxelization; and (3) to develop and implement discrete algorithms that capitalize on the discrete representation of the volume buffer for fast viewing of the scene, using approaches such as volumetric ray tracing and template-based projection.",a9205047,Volume Synthesis Theory and Algorithms,"December 15, 1992",$310837 (Estimated),Yechezkel Zalcstein  CCR DIV OF COMPUTER-COMMUNICATIONS RESEARCH  CSE DIRECT FOR COMPUTER & INFO SCIE & ENGINR,"November 30, 1996 (Estimated)",Arie E. Kaufman ari@cs.sunysb.edu (Principal Investigator current),CCR,SUNY Stony Brook,Award,"9215,HPCC,",Continuing grant,9205047,4715 COMPUTER SYSTEMS ARCHITECTURE,"December 20, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200400.txt,0113000 Animal Welfare  0120000 Research Involving Recombinant DNA  61 Life Science Biological,"This award provides funds to the Graduate School at Baylor College  of Medicine (BCM) to establish a Research Experiences for  Undergraduates SITE. Ten college undergraduates selected from a  nationwide pool of hundreds of applicants will be exposed to a  research atmosphere through their participation in a 10 week summer  career development program. Participants will be selected by a  committee composed of faculty from each basic science department.  Students will be matched with volunteer faculty mentors and become  functioning members of their laboratories. The unifying focus of  the REU Site will be cellular signal transduction. BCM has an  outstanding reputation in this area of fundamental biological  research involving a number of basic science departments including  Biochemistry, Cell Biology, Molecular Physiology and Biophysics,  and Neuroscience. The projects that will be offered will involve  subjects and techniques that will be appropriate for students with  a diversity of interests, backgrounds, and levels of experience.  The faculty of BCM have already gained experience in designing  undergraduate research projects and interacting with college  students through participation in a 3 year pilot program. The  laboratory oriented aspect of the program will be supplemented by  students' participation in research discussions, seminars, career  development activities and social/cultural activities sponsored  through the SMART Program by the Graduate School. NSF sponsored  participants will have the benefit of interacting with other  undergraduates form throughout the nation who will be supported by  other sources and of entering an established career development  program that effectively promotes interest in science and prepares  undergraduates to enter research oriented careers.",a9200400,Signal Transduction,"April 15, 1992",$50000 (Estimated),BIO DIRECT FOR BIOLOGICAL SCIENCES  BIO DIRECT FOR BIOLOGICAL SCIENCES,"March 31, 1993 (Estimated)",William R. Brinkley brinkley@bcm.tmc.edu (Principal Investigator current),BIO,"Baylor College of Medicine 1200 Moursund Avenue Houston, TX 770303404 713/790-4846",Award,"9250,",Standard Grant,9200400,9145 SPECIAL PROGRAMS-RESERVE,"April 20, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_01/a9201784.txt,0000099 Other Applications NEC  81 Anthropology,"This project supports the dissertation research of an  anthropology student from UCLA studying how different cultural  backgrounds affect the experiences of abused wives. Battered  women from three low-income groups: non-Hispanic whites, Mexican-  Americans, and Mexican immigrants newly arrived to the US will be  interviewed in depth about their experiences. The research will  focus on the social, cultural and psychological framework out of  which battered women interpret and cope with their violent  relationship. The student will interview about 75 women, aged  21-35, mothers of at least one child, to elicit their life  stories. In addition objective scales of acculturation and  conflict will be administered to each woman.   This research is important because household violence is a major  problem in our society. Increased understanding of the role of  cultural backgrounds in explaining how women cope with violence  can help policy makers design programs which are more culturally  sensitive and appropriate for diverse sub-cultures in our  society.",a9201784,Dissertation Research: Ethnic Diversity and Cultural Shapingof Family Conflict,"October 1, 1992",$10852 (Estimated),"Stuart Plattner  BCS DIVISION OF BEHAVIORAL AND COGNITIVE SCI SBE DIRECT FOR SOCIAL, BEHAV & ECONOMIC SCIE","September 30, 1994 (Estimated)",Nancy Warwick (Student current),BCS,"U of Cal Los Angeles 10920 Wilshire Blvd. Los Angeles, CA 900241406 310/794-0102",Award,"",Standard Grant,9201784,1390 CULTURAL ANTHROPOLOGY,"August 12, 1992"
